Date,Open,High,Low,Last Close
2018-01-05,219,219,219,219
2018-01-08,221,221,221,221
2018-01-09,223,223,223,223
2018-01-10,221,221,221,221
2018-01-11,220,220,220,220
2018-01-12,221,221,221,221
2018-01-15,219,219,219,219
2018-01-16,220,220,220,220
2018-01-17,220,220,220,220
2018-01-18,220,220,220,220
2018-01-19,221,221,221,221
2018-01-22,221,221,221,221
2018-01-23,223,223,223,223
2018-01-24,221,221,221,221
2018-01-25,219,219,219,219
2018-01-26,221,221,221,221
2018-01-29,223,223,223,223
2018-01-30,220,220,220,220
2018-01-31,219,219,219,219
2018-02-01,218,218,218,218
2018-02-05,213,213,213,213
2018-02-06,203,203,203,203
2018-02-08,208,208,208,208
2018-02-09,204,204,204,204
2018-02-12,207,207,207,207
2018-02-13,207,207,207,207
2018-02-14,208,208,208,208
2018-02-15,209,209,209,209
2018-02-16,213,213,213,213
2018-02-19,212,212,212,212
2018-02-20,212,214,212,214
2018-02-21,214,214,214,214
2018-02-22,213,213,213,213
2018-02-23,214,214,214,214
2018-02-26,216,217,216,217
2018-02-27,218,218,218,218
2018-02-28,217,217,217,217
2018-03-01,214,214,214,214
2018-03-02,209,209,209,209
2018-03-05,212,212,212,212
2018-03-06,211,211,211,211
2018-03-07,212,212,212,212
2018-03-08,214,214,214,214
2018-03-09,217,217,217,217
2018-03-12,219,219,219,219
2018-03-13,216,216,216,216
2018-03-14,217,217,215,215
2018-03-15,216,216,216,216
2018-03-16,217,217,217,217
2018-03-19,213,213,213,213
2018-03-20,213,213,213,213
2018-03-21,215,215,215,215
2018-03-22,210,210,210,210
2018-03-23,206,206,206,206
2018-03-27,207,207,207,207
2018-03-28,203,203,203,203
2018-03-29,207,207,207,207
2018-04-03,207,207,205,205
2018-04-04,205,205,205,205
2018-04-05,211,211,211,211
2018-04-06,207,207,207,207
2018-04-09,207,207,207,207
2018-04-10,208,208,208,208
2018-04-11,207,207,207,207
2018-04-12,209,209,209,209
2018-04-13,209,209,209,209
2018-04-16,209,209,209,209
2018-04-17,212,212,212,212
2018-04-18,212,212,212,212
2018-04-19,211,211,211,211
2018-04-20,211,211,211,211
2018-04-23,212,212,212,212
2018-04-24,211,211,211,211
2018-04-25,209,209,209,209
2018-04-26,212,212,212,212
2018-04-27,213,213,213,213
2018-04-30,214,214,214,214
2018-05-02,214,214,214,214
2018-05-03,210,210,210,210
2018-05-04,215,215,215,215
2018-05-07,217,217,217,217
2018-05-08,218,218,218,218
2018-05-09,219,219,219,219
2018-05-11,221,221,221,221
2018-05-14,221,221,221,221
2018-05-15,221,221,221,221
2018-05-16,223,223,223,223
2018-05-17,224,224,224,224
2018-05-18,224,224,224,224
2018-05-22,225,225,225,225
2018-05-23,225,225,225,225
2018-05-24,226,226,225,225
2018-05-25,226,226,226,226
2018-05-28,227,227,227,227
2018-05-29,226,226,226,226
2018-06-04,227,227,227,227
2018-06-05,228,228,228,228
2018-06-06,227,227,227,227
2018-06-07,227,227,227,227
2018-06-08,228,228,228,228
2018-06-11,229,229,229,229
2018-06-12,229,229,229,229
2018-06-13,230,230,230,230
2018-06-14,232,232,232,232
2018-06-15,231,231,231,231
2018-06-18,231,231,231,231
2018-06-19,231,231,231,231
2018-06-20,232,232,232,232
2018-06-21,232,232,232,232
2018-06-22,230,230,230,230
2018-06-25,225,225,225,225
2018-06-26,226,226,226,226
2018-06-27,228,228,228,228
2018-06-28,229,229,229,229
2018-06-29,228,228,228,228
2018-07-02,227,227,227,227
2018-07-03,227,227,227,227
2018-07-04,227,227,227,227
2018-07-06,228,228,228,228
2018-07-09,229,229,229,229
2018-07-10,231,231,231,231
2018-07-11,230,230,230,230
2018-07-12,232,232,232,232
2018-07-13,233,233,233,233
2018-07-16,232,232,232,232
2018-07-17,233,233,233,233
2018-07-18,235,235,235,235
2018-07-19,235,235,235,235
2018-07-20,233,233,233,233
2018-07-23,233,233,233,233
2018-07-24,234,234,234,234
2018-07-25,235,235,235,235
2018-07-26,237,237,237,237
2018-07-27,236,236,236,236
2018-07-30,233,233,233,233
2018-07-31,234,234,234,234
2018-08-01,234,234,234,234
2018-08-02,235,235,235,235
2018-08-03,237,237,237,237
2018-08-06,239,239,239,239
2018-08-07,240,240,240,240
2018-08-08,239,239,239,239
2018-08-09,240,240,240,240
2018-08-10,242,242,242,242
2018-08-13,241,241,241,241
2018-08-14,242,242,242,242
2018-08-16,243,243,243,243
2018-08-17,241,241,241,241
2018-08-20,242,242,242,242
2018-08-21,237,237,237,237
2018-08-22,239,239,239,239
2018-08-23,239,239,239,239
2018-08-24,239,239,239,239
2018-08-27,240,240,240,240
2018-08-28,240,240,240,240
2018-08-29,241,241,241,241
2018-08-30,243,243,243,243
2018-08-31,243,243,243,243
2018-09-03,244,244,244,244
2018-09-04,243,243,243,243
2018-09-05,240,240,240,240
2018-09-06,240,240,240,240
2018-09-07,241,241,241,241
2018-09-10,242,242,242,242
2018-09-11,241,241,241,241
2018-09-12,242,242,242,242
2018-09-13,242,242,242,242
2018-09-14,243,243,243,243
2018-09-17,242,242,242,242
2018-09-18,242,242,242,242
2018-09-19,243,243,243,243
2018-09-20,243,243,243,243
2018-09-21,244,244,244,244
2018-09-24,242,242,242,242
2018-09-25,242,242,242,242
2018-09-26,242,242,242,242
2018-09-27,244,244,244,244
2018-09-28,245,245,245,245
2018-10-01,248,248,247,247
2018-10-02,247,247,247,247
2018-10-03,249,249,249,249
2018-10-04,246,246,246,246
2018-10-05,245,245,245,245
2018-10-08,244,244,244,244
2018-10-09,245,245,245,245
2018-10-10,240,240,240,240
2018-10-11,233,233,233,233
